Lat	Long	CentroidSize	LogCentroidSize	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	APE	AAE	AWB
-52.43	-71.87	22.610585	3.118418	35	87	48	3276	132	-46	178	57	38	76	-9	595	65	42	13	175	132	150	139	347	320	150
-52.43	-71.87	21.569258	3.071269	35	87	48	3276	132	-46	178	57	38	76	-9	595	65	42	13	175	132	150	139	347	320	150
-52.43	-71.87	19.113665	2.950404	35	87	48	3276	132	-46	178	57	38	76	-9	595	65	42	13	175	132	150	139	347	320	150
-52.43	-71.87	22.309281	3.105003	35	87	48	3276	132	-46	178	57	38	76	-9	595	65	42	13	175	132	150	139	347	320	150
-52.43	-71.87	18.882294	2.938225	35	87	48	3276	132	-46	178	57	38	76	-9	595	65	42	13	175	132	150	139	347	320	150
-52.43	-71.87	21.556658	3.070685	35	87	48	3276	132	-46	178	57	38	76	-9	595	65	42	13	175	132	150	139	347	320	150
-52.43	-71.87	22.622742	3.118956	35	87	48	3276	132	-46	178	57	38	76	-9	595	65	42	13	175	132	150	139	347	320	150
-52.43	-71.87	19.601949	2.975629	35	87	48	3276	132	-46	178	57	38	76	-9	595	65	42	13	175	132	150	139	347	320	150
-52.43	-71.87	22.385397	3.108409	35	87	48	3276	132	-46	178	57	38	76	-9	595	65	42	13	175	132	150	139	347	320	150
-52.43	-71.87	22.376704	3.108020	35	87	48	3276	132	-46	178	57	38	76	-9	595	65	42	13	175	132	150	139	347	320	150
-52.43	-71.87	23.790549	3.169288	35	87	48	3276	132	-46	178	57	38	76	-9	595	65	42	13	175	132	150	139	347	320	150
-52.43	-71.87	22.723712	3.123409	35	87	48	3276	132	-46	178	57	38	76	-9	595	65	42	13	175	132	150	139	347	320	150
-53.22	-71.18	20.107058	3.001071	48	71	46	2956	135	-19	154	47	48	85	9	605	63	41	13	182	131	149	143	373	295	206
-53.85	-69.27	23.481311	3.156205	53	72	48	2806	135	-12	147	54	52	88	16	536	55	29	17	160	102	141	133	306	309	361
-53.85	-69.27	23.891211	3.173511	53	72	48	2806	135	-12	147	54	52	88	16	536	55	29	17	160	102	141	133	306	309	361
-55.23	-68.73	22.201119	3.100143	31	76	52	2611	109	-36	145	33	15	63	-4	888	92	55	14	256	180	226	215	729	0	0
-53.85	-69.27	20.411480	3.016098	53	72	48	2806	135	-12	147	54	52	88	16	536	55	29	17	160	102	141	133	306	309	361
-53.85	-69.27	25.679881	3.245708	53	72	48	2806	135	-12	147	54	52	88	16	536	55	29	17	160	102	141	133	306	309	361
-47.65	-66.07	23.531801	3.158353	100	99	47	4266	212	4	208	49	101	150	43	209	26	11	26	74	39	46	63	373	207	-139
-26.95	-65.82	18.785090	2.933063	90	137	54	3930	211	-39	250	137	39	137	37	253	58	2	96	161	8	161	10	1294	661	-1271
-24.45	-66.68	21.417952	3.064229	59	168	64	3434	178	-83	261	96	33	96	10	93	30	0	122	70	2	70	3	1214	745	-450
-24.45	-66.68	18.531817	2.919489	59	168	64	3434	178	-83	261	96	33	96	10	93	30	0	122	70	2	70	3	1214	745	-450
-24.45	-66.68	21.796338	3.081742	59	168	64	3434	178	-83	261	96	33	96	10	93	30	0	122	70	2	70	3	1214	745	-450
-24.45	-66.68	20.891357	3.039336	59	168	64	3434	178	-83	261	96	33	96	10	93	30	0	122	70	2	70	3	1214	745	-450
-40.98	-70.7	19.195811	2.954692	81	126	50	4696	227	-23	250	29	141	141	21	500	101	13	72	268	45	45	237	560	445	1052
-40.98	-70.7	21.796036	3.081728	81	126	50	4696	227	-23	250	29	141	141	21	500	101	13	72	268	45	45	237	560	445	1052
-48.18	-67.38	19.237655	2.956870	100	105	47	4544	221	-1	222	45	102	155	41	227	27	14	23	78	44	51	68	355	218	-119
-23.58	-65.42	21.061270	3.047436	111	174	61	3910	237	-48	285	152	57	152	55	221	59	0	111	156	2	156	4	1286	661	-1263
-22.1	-65.87	19.470827	2.968917	99	200	62	4315	242	-80	322	141	39	141	35	237	68	0	118	171	2	171	2	1247	429	-1224
-46.37	-67.59	21.011791	3.045084	119	102	46	4454	242	22	220	67	147	175	61	211	29	11	33	79	36	38	68	443	166	-200
-48.7	-67.6	21.570153	3.071311	98	107	47	4549	220	-4	224	41	101	152	39	233	28	14	23	80	44	56	69	348	219	-113
-48.7	-67.6	20.100855	3.000762	98	107	47	4549	220	-4	224	41	101	152	39	233	28	14	23	80	44	56	69	348	219	-113
-48.7	-67.6	22.715202	3.123034	98	107	47	4549	220	-4	224	41	101	152	39	233	28	14	23	80	44	56	69	348	219	-113
-48.7	-67.6	22.690805	3.121960	98	107	47	4549	220	-4	224	41	101	152	39	233	28	14	23	80	44	56	69	348	219	-113
-50.29	-72.67	23.292941	3.148150	77	88	45	3899	179	-15	194	48	118	125	25	503	57	29	21	160	99	104	142	488	383	119
-50.29	-72.67	23.588156	3.160745	77	88	45	3899	179	-15	194	48	118	125	25	503	57	29	21	160	99	104	142	488	383	119
-50.29	-72.67	20.035222	2.997492	77	88	45	3899	179	-15	194	48	118	125	25	503	57	29	21	160	99	104	142	488	383	119
-46.37	-67.59	22.088031	3.095036	119	102	46	4454	242	22	220	67	147	175	61	211	29	11	33	79	36	38	68	443	166	-200
-46.54	-67.6	22.835307	3.128308	111	103	46	4477	234	13	221	59	139	167	53	206	27	11	30	76	36	37	67	413	155	-174
-46.54	-67.6	21.890102	3.086035	111	103	46	4477	234	13	221	59	139	167	53	206	27	11	30	76	36	37	67	413	155	-174
-46.54	-67.6	21.275018	3.057534	111	103	46	4477	234	13	221	59	139	167	53	206	27	11	30	76	36	37	67	413	155	-174
-46.54	-67.6	22.160082	3.098293	111	103	46	4477	234	13	221	59	139	167	53	206	27	11	30	76	36	37	67	413	155	-174
-46.54	-67.6	21.687315	3.076728	111	103	46	4477	234	13	221	59	139	167	53	206	27	11	30	76	36	37	67	413	155	-174
-46.37	-67.59	22.530659	3.114877	119	102	46	4454	242	22	220	67	147	175	61	211	29	11	33	79	36	38	68	443	166	-200
-46.37	-67.59	21.304528	3.058920	119	102	46	4454	242	22	220	67	147	175	61	211	29	11	33	79	36	38	68	443	166	-200
-11.77	-75.52	20.237094	3.007517	102	144	79	726	183	1	182	105	91	109	91	703	124	5	75	356	24	230	24	1192	770	-386
-10.25	-77.43	21.884287	3.085769	71	141	76	904	149	-36	185	81	57	81	57	505	168	0	118	365	3	365	3	1220	553	-1197
